index,prompt
1,A futuristic city skyline at sunset with flying cars
2,A hyper-detailed futuristic city with neon lights and elevated highways
3,A minimalist futuristic city scene with clean white architecture
4,A futuristic underwater city with glass domes
5,A futuristic city floating in the clouds with airships
6,A bustling futuristic marketplace with robots and holographic signs
7,A dystopian futuristic city with dark alleys and towering skyscrapers
8,A serene futuristic park in the center of a high-tech city
9,A futuristic city at night viewed from above with glowing grids
10,A futuristic eco-city covered in plants and renewable energy structures
